,,,02.02.2018,,,Заказ ,Заказ ,Заказ,Заказ ,,,,,
№,Код ,Про-тель,Артикул,Наименование,Наличие,опт 5,опт 3,опт 2,опт 1,Заказ,,,,
,5467,Forsage,F-8152MPB,"Набор головок ударных глубоких 14пр. 1"" (22,24,27,30,32,33,34,36,38,40,46,50,55,60) в метал.кейсе",>10,"9083,98","9792,53","10184,23","10591,60",,0,0,0,0
,890,Forsage,F-2066,"Набор отверток ювелирных 6пр. (SL: 2.0, 2.4, 3.0.PH 00.0,1)",>10,"371,18","400,14","416,14","432,79",,0,0,0,0
,8754,Forsage,F-20713,"Набор отверток 7пр. (PH.1,2,3+SL 4, 5.5, 6.5, 8мм)в лотке",>10,"914,79","986,15","1025,59","1066,62",,0,0,0,0
,4350,Forsage,F-2066NS,"Набор отверток диэлектрических 6пр. (SL: 1.5,2.0, PZ: 00, 0 , PH: 00, 0 )",Нет в наличии,"769,96","830,01","863,21","897,74",,0,0,0,0
,8452,Forsage,F-20814,"Набор отверток диэлектрических 8пр. (PH 0,1,2.SL 2.5,4,5.5,6.5)в лотке",>10,"982,51","1059,14","1101,51","1145,57",,0,0,0,0
,8691,Forsage,F-2066N,"Набор отверток диэлектрических 6пр. (SL: 1.5,2.0, PZ: PZ 00,0,PH: 00,0 )",>10,"474,01","510,98","531,42","552,68",,0,0,0,0
,6525,Forsage,F-108,"13пр. Отвертка реверсная телескопическая с набором бит(SL 5,7.PZ 1,2.PH 1,2.H 3,4.T 15,20)",<10,"591,26","637,38","662,87","689,39",,0,0,0,0
,7299,Forsage,F-32810MR,"Отвертка реверсивная с набором бит 15пр. (SL: 5, 6, 7мм,PH: 0, 1, 2, 3,T15,T20,T25,H 3, 4, 5мм)",>10,"391,88","422,44","439,34","456,91",,0,0,0,0
,7301,Forsage,F-32808MR,"Отвертка реверсивная с набором бит 8пр. (S1xS2,T15xT20, T25xT30,H4xH5,PH1xSL 3мм, PH2xSL 5мм, PH3xSL 6мм)",>10,"300,96","324,43","337,41","350,91",,0,0,0,0
,7454,Forsage,F-5064,Отвертка ударная с набором бит в метал.кейсе 6пр.,>10,"919,18","990,88","1030,51","1071,73",,0,0,0,0
,4557,Forsage,F-2331,"1/4"" набор бит секретных с битодержателем 33 пр.- 25ммL",>10,"309,74","333,90","347,25","361,14",,0,0,0,0
,6731,Forsage,F-21113,"Набор бит-торкс  с битодержателем 11пр. (T 7,8,9,10,15,20,25,27,30,40-25мм)",>10,"342,34","369,04","383,81","399,16",,0,0,0,0
,6736,Forsage,F-21112,"Набор бит с битодержателем 11пр. (PH1,2,3 PZ1,2,3, SL5.5, 6.5)",>10,"377,45","406,90","423,17","440,10",,0,0,0,0
,8490,Forsage,F-23113,"Набор бит с битодержателем 31пр.1/4""(PH 0-PH3, PZ1-PZ3, SL4-6.5,H3-6, T5-40-25мм)",>10,"597,53","644,14","669,90","696,70",,0,0,0,0
